X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,label
0.142857143,0.170068027,0.047619048,0.034013605,0.231292517,0.197278912,0.156462585,0.149659864,0.176870748,0.170068027,0.095238095,0.163265306,0.088435374,0.108843537,0.170068027,0.183673469,0.176870748,0.197278912,0.170068027,0.156462585,0.12244898,0.088435374,0.047619048,0.068027211,0.278911565,0.428571429,0.360544218,0.19047619,0.095238095,0.095238095,0.299319728,0.319727891,0.170068027,0.102040816,0.170068027,0.421768707,0.489795918,0.503401361,0.231292517,0.129251701,0.578231293,0.646258503,0.31292517,0.292517007,0.020408163,0.12244898,0.632653061,0.639455782,0.612244898,0.598639456,0.755102041,0.775510204,0.197278912,0.034013605,0,0.040816327,0.775510204,0.816326531,0.680272109,0.734693878,0.836734694,0.843537415,0.394557823,0.020408163,0.034013605,0.292517007,0.585034014,0.680272109,0.578231293,0.680272109,0.850340136,0.850340136,0.816326531,0.326530612,0.653061224,0.659863946,0.673469388,0.646258503,0.693877551,0.666666667,0.823129252,0.843537415,0.544217687,0.088435374,0.142857143,0.306122449,0.544217687,0.646258503,0.578231293,0.666666667,0.768707483,0.782312925,0.360544218,0.074829932,0.006802721,0.027210884,0.653061224,0.823129252,0.673469388,0.714285714,0.62585034,0.659863946,0.37414966,0.401360544,0.040816327,0.054421769,0.557823129,0.639455782,0.591836735,0.557823129,0.292517007,0.353741497,0.25170068,0.054421769,0.088435374,0.319727891,0.544217687,0.571428571,0.176870748,0.081632653,0
0.476821192,0.450331126,0.357615894,0.079470199,0.112582781,0.19205298,0.470198675,0.490066225,0.218543046,0.165562914,0.715231788,0.662251656,0.298013245,0.006622517,0.013245033,0.006622517,0.278145695,0.662251656,0.536423841,0.456953642,0.814569536,0.821192053,0.231788079,0,0,0,0.271523179,0.735099338,0.61589404,0.57615894,0.655629139,0.721854305,0.397350993,0.01986755,0,0.072847682,0.430463576,0.543046358,0.682119205,0.463576159,0.350993377,0.589403974,0.602649007,0.21192053,0.410596026,0.642384106,0.701986755,0.496688742,0.715231788,0.496688742,0.158940397,0.331125828,0.245033113,0.039735099,0.205298013,0.556291391,0.708609272,0.562913907,0.741721854,0.543046358,0.119205298,0.21192053,0.046357616,0,0,0.152317881,0.61589404,0.649006623,0.695364238,0.443708609,0.006622517,0.132450331,0.099337748,0.013245033,0,0.145695364,0.814569536,0.708609272,0.649006623,0.57615894,0,0.132450331,0.033112583,0.006622517,0.033112583,0.42384106,0.642384106,0.61589404,0.589403974,0.543046358,0,0.006622517,0.006622517,0.132450331,0.463576159,0.57615894,0.331125828,0.152317881,0.105960265,0.251655629,0.086092715,0.132450331,0.112582781,0.165562914,0.185430464,0.066225166,0,0.006622517,0.033112583,0.132450331,0.125827815,0.231788079,0.231788079,0.066225166,0.052980132,0.052980132,0.072847682,0.092715232,0.072847682,0.072847682,0
0.025316456,0.094936709,0.151898734,0.386075949,0.518987342,0.544303797,0.379746835,0.265822785,0.221518987,0.221518987,0.493670886,0.487341772,0.265822785,0.050632911,0.151898734,0.613924051,0.620253165,0.613924051,0.569620253,0.424050633,0.715189873,0.379746835,0.044303797,0,0.018987342,0.639240506,0.664556962,0.67721519,0.64556962,0.626582278,0.898734177,0.613924051,0.012658228,0.018987342,0.196202532,0.594936709,0.575949367,0.639240506,0.670886076,0.727848101,0.911392405,0.905063291,0.5,0.569620253,0.797468354,0.886075949,0.658227848,0.816455696,0.759493671,0.797468354,0.905063291,0.898734177,0.310126582,0.164556962,0.341772152,0.715189873,0.816455696,0.810126582,0.67721519,0.753164557,0.905063291,0.867088608,0.113924051,0.018987342,0.025316456,0.436708861,0.905063291,0.886075949,0.791139241,0.734177215,0.753164557,0.803797468,0.632911392,0.164556962,0.094936709,0.392405063,0.721518987,0.607594937,0.430379747,0.265822785,0.158227848,0.259493671,0.341772152,0.272151899,0.417721519,0.632911392,0.481012658,0.17721519,0.139240506,0.126582278,0.208860759,0.202531646,0.202531646,0.265822785,0.297468354,0.221518987,0.202531646,0.056962025,0.037974684,0.025316456,0.221518987,0.189873418,0.202531646,0.240506329,0.234177215,0.221518987,0.196202532,0.025316456,0.025316456,0.025316456,0.227848101,0.189873418,0.208860759,0.240506329,0.234177215,0.221518987,0.215189873,0.189873418,0.189873418,0.196202532,0
0.037974684,0.025316456,0,0,0.050632911,0.234177215,0.126582278,0.006329114,0.069620253,0.196202532,0.107594937,0.164556962,0.088607595,0.183544304,0.335443038,0.430379747,0.443037975,0.158227848,0.107594937,0.120253165,0.449367089,0.196202532,0.063291139,0.158227848,0.113924051,0.670886076,0.626582278,0.563291139,0.462025316,0.392405063,0.474683544,0.341772152,0.012658228,0,0.094936709,0.803797468,0.708860759,0.64556962,0.64556962,0.398734177,0.734177215,0.588607595,0.101265823,0.170886076,0.46835443,0.556962025,0.613924051,0.455696203,0.689873418,0.639240506,0.563291139,0.778481013,0.35443038,0.67721519,0.886075949,0.765822785,0.727848101,0.563291139,0.759493671,0.759493671,0.227848101,0.265822785,0.012658228,0.037974684,0.398734177,0.784810127,0.753164557,0.64556962,0.835443038,0.651898734,0.189873418,0.088607595,0.101265823,0.050632911,0.234177215,0.930379747,0.873417722,0.816455696,0.721518987,0.411392405,0.094936709,0.208860759,0.202531646,0.164556962,0.424050633,0.689873418,0.683544304,0.411392405,0.14556962,0.120253165,0.006329114,0.018987342,0.012658228,0.018987342,0.050632911,0.107594937,0.082278481,0.082278481,0.113924051,0.120253165,0.132911392,0.101265823,0.094936709,0.075949367,0.063291139,0.088607595,0.196202532,0.189873418,0.189873418,0.17721519,0.221518987,0.227848101,0.208860759,0.170886076,0.221518987,0.215189873,0.221518987,0.215189873,0.215189873,0.215189873,0
0,0.006329114,0,0,0.082278481,0.14556962,0.151898734,0.03164557,0.018987342,0.012658228,0.006329114,0.012658228,0.006329114,0.189873418,0.259493671,0.32278481,0.474683544,0.196202532,0.03164557,0.088607595,0.012658228,0.069620253,0.107594937,0.291139241,0.392405063,0.670886076,0.67721519,0.658227848,0.601265823,0.462025316,0.050632911,0.14556962,0.018987342,0.006329114,0.006329114,0.46835443,0.892405063,0.85443038,0.82278481,0.746835443,0.164556962,0.32278481,0.120253165,0.03164557,0.006329114,0.341772152,0.911392405,0.892405063,0.860759494,0.772151899,0.379746835,0.424050633,0.518987342,0.069620253,0.088607595,0.575949367,0.702531646,0.759493671,0.778481013,0.569620253,0.639240506,0.67721519,0.537974684,0.367088608,0.696202532,0.772151899,0.746835443,0.639240506,0.708860759,0.613924051,0.430379747,0.64556962,0.398734177,0.107594937,0.196202532,0.411392405,0.556962025,0.506329114,0.53164557,0.398734177,0.14556962,0.246835443,0.417721519,0.253164557,0.018987342,0.056962025,0.67721519,0.702531646,0.601265823,0.569620253,0.006329114,0.056962025,0.14556962,0.088607595,0,0.025316456,0.620253165,0.632911392,0.544303797,0.417721519,0,0,0.037974684,0.018987342,0.025316456,0.126582278,0.215189873,0.158227848,0.151898734,0.17721519,0.006329114,0,0,0,0.03164557,0.075949367,0.094936709,0.14556962,0.158227848,0.183544304,0
0.012658228,0.050632911,0.164556962,0.449367089,0.537974684,0.569620253,0.35443038,0.240506329,0.221518987,0.227848101,0.405063291,0.46835443,0.272151899,0.037974684,0.088607595,0.556962025,0.601265823,0.518987342,0.430379747,0.367088608,0.702531646,0.544303797,0.101265823,0.006329114,0,0.53164557,0.67721519,0.639240506,0.67721519,0.594936709,0.873417722,0.810126582,0.044303797,0,0.075949367,0.512658228,0.588607595,0.588607595,0.658227848,0.715189873,0.924050633,0.930379747,0.582278481,0.335443038,0.708860759,0.841772152,0.689873418,0.797468354,0.753164557,0.816455696,0.917721519,0.930379747,0.588607595,0.202531646,0.405063291,0.683544304,0.778481013,0.816455696,0.734177215,0.740506329,0.917721519,0.924050633,0.284810127,0.006329114,0.006329114,0.265822785,0.911392405,0.879746835,0.765822785,0.670886076,0.746835443,0.873417722,0.518987342,0.14556962,0.069620253,0.215189873,0.803797468,0.683544304,0.462025316,0.316455696,0.189873418,0.329113924,0.436708861,0.189873418,0.265822785,0.582278481,0.563291139,0.196202532,0.14556962,0.132911392,0.183544304,0.183544304,0.189873418,0.329113924,0.398734177,0.259493671,0.202531646,0.044303797,0.03164557,0.03164557,0.221518987,0.189873418,0.202531646,0.234177215,0.227848101,0.227848101,0.196202532,0.018987342,0.025316456,0.03164557,0.221518987,0.189873418,0.208860759,0.234177215,0.234177215,0.227848101,0.215189873,0.183544304,0.202531646,0.208860759,0
0.142857143,0.170068027,0.047619048,0.034013605,0.231292517,0.197278912,0.156462585,0.149659864,0.176870748,0.170068027,0.095238095,0.163265306,0.088435374,0.108843537,0.170068027,0.183673469,0.176870748,0.197278912,0.170068027,0.156462585,0.12244898,0.088435374,0.047619048,0.068027211,0.278911565,0.428571429,0.360544218,0.19047619,0.095238095,0.095238095,0.299319728,0.319727891,0.170068027,0.102040816,0.170068027,0.421768707,0.489795918,0.503401361,0.231292517,0.129251701,0.578231293,0.646258503,0.31292517,0.292517007,0.020408163,0.12244898,0.632653061,0.639455782,0.612244898,0.598639456,0.755102041,0.775510204,0.197278912,0.034013605,0,0.040816327,0.775510204,0.816326531,0.680272109,0.734693878,0.836734694,0.843537415,0.394557823,0.020408163,0.034013605,0.292517007,0.585034014,0.680272109,0.578231293,0.680272109,0.850340136,0.850340136,0.816326531,0.326530612,0.653061224,0.659863946,0.673469388,0.646258503,0.693877551,0.666666667,0.823129252,0.843537415,0.544217687,0.088435374,0.142857143,0.306122449,0.544217687,0.646258503,0.578231293,0.666666667,0.768707483,0.782312925,0.360544218,0.074829932,0.006802721,0.027210884,0.653061224,0.823129252,0.673469388,0.714285714,0.62585034,0.659863946,0.37414966,0.401360544,0.040816327,0.054421769,0.557823129,0.639455782,0.591836735,0.557823129,0.292517007,0.353741497,0.25170068,0.054421769,0.088435374,0.319727891,0.544217687,0.571428571,0.176870748,0.081632653,0
0.146853147,0.174825175,0.048951049,0.041958042,0.237762238,0.202797203,0.160839161,0.146853147,0.181818182,0.181818182,0.097902098,0.13986014,0.048951049,0.090909091,0.188811189,0.244755245,0.223776224,0.181818182,0.167832168,0.146853147,0.167832168,0.125874126,0.055944056,0.090909091,0.328671329,0.538461538,0.524475524,0.398601399,0.06993007,0.06993007,0.496503497,0.307692308,0.090909091,0.06993007,0.230769231,0.566433566,0.566433566,0.566433566,0.475524476,0.342657343,0.748251748,0.251748252,0.104895105,0.055944056,0.048951049,0.685314685,0.797202797,0.797202797,0.734265734,0.643356643,0.839160839,0.370629371,0.006993007,0,0.146853147,0.678321678,0.748251748,0.643356643,0.713286713,0.832167832,0.874125874,0.769230769,0.251748252,0.447552448,0.622377622,0.552447552,0.657342657,0.685314685,0.72027972,0.769230769,0.874125874,0.755244755,0.237762238,0.370629371,0.559440559,0.552447552,0.622377622,0.657342657,0.734265734,0.797202797,0.811188811,0.461538462,0.006993007,0,0.041958042,0.643356643,0.818181818,0.706293706,0.678321678,0.762237762,0.727272727,0.426573427,0.06993007,0.20979021,0.041958042,0.545454545,0.783216783,0.783216783,0.72027972,0.615384615,0.461538462,0.363636364,0.06993007,0.055944056,0.181818182,0.545454545,0.552447552,0.538461538,0.272727273,0.202797203,0.167832168,0.160839161,0.06993007,0.034965035,0.146853147,0.601398601,0.601398601,0.41958042,0.104895105,0.13986014,0
0.137681159,0.15942029,0.02173913,0.050724638,0.217391304,0.195652174,0.152173913,0.137681159,0.15942029,0.152173913,0.094202899,0.086956522,0.043478261,0.028985507,0.173913043,0.384057971,0.347826087,0.15942029,0.086956522,0.079710145,0.398550725,0.413043478,0.420289855,0.362318841,0.333333333,0.463768116,0.492753623,0.5,0.137681159,0.057971014,0.673913043,0.717391304,0.5,0.572463768,0.5,0.673913043,0.637681159,0.615942029,0.572463768,0.528985507,0.826086957,0.826086957,0.550724638,0.384057971,0.572463768,0.775362319,0.782608696,0.826086957,0.688405797,0.724637681,0.884057971,0.884057971,0.724637681,0.492753623,0.434782609,0.543478261,0.557971014,0.666666667,0.579710145,0.68115942,0.884057971,0.891304348,0.826086957,0.644927536,0.724637681,0.702898551,0.717391304,0.644927536,0.688405797,0.666666667,0.833333333,0.862318841,0.536231884,0.536231884,0.528985507,0.601449275,0.594202899,0.652173913,0.594202899,0.702898551,0.775362319,0.789855072,0.463768116,0.434782609,0.65942029,0.804347826,0.81884058,0.81884058,0.673913043,0.724637681,0.572463768,0.579710145,0.442028986,0.514492754,0.652173913,0.673913043,0.65942029,0.615942029,0.594202899,0.579710145,0.239130435,0.166666667,0.202898551,0.195652174,0.405797101,0.536231884,0.557971014,0.347826087,0.173913043,0.123188406,0.144927536,0.108695652,0.065217391,0.101449275,0.47826087,0.52173913,0.34057971,0.137681159,0.166666667,0.231884058,1
0.393548387,0.212903226,0.490322581,0.593548387,0.496774194,0.683870968,0.883870968,0.877419355,0.735483871,0.580645161,0.432258065,0.425806452,0.625806452,0.612903226,0.55483871,0.903225806,0.95483871,0.896774194,0.922580645,0.84516129,0.412903226,0.55483871,0.787096774,0.916129032,0.716129032,0.735483871,0.774193548,0.612903226,0.767741935,0.670967742,0.458064516,0.774193548,0.941935484,0.916129032,0.896774194,0.883870968,0.929032258,0.75483871,0.909677419,0.774193548,0.6,0.735483871,0.890322581,0.535483871,0.851612903,0.941935484,0.896774194,0.806451613,0.967741935,0.75483871,0.464516129,0.44516129,0.483870968,0.438709677,0.767741935,0.967741935,0.967741935,0.974193548,0.967741935,0.890322581,0.419354839,0.277419355,0.212903226,0.612903226,0.75483871,0.961290323,0.961290323,0.961290323,0.903225806,0.929032258,0.161290323,0.187096774,0.167741935,0.451612903,0.638709677,0.735483871,0.748387097,0.709677419,0.606451613,0.470967742,0.212903226,0.167741935,0.096774194,0.019354839,0.083870968,0.219354839,0.212903226,0.380645161,0.116129032,0.006451613,0.316129032,0.258064516,0.103225806,0.129032258,0.277419355,0.374193548,0.348387097,0.24516129,0.135483871,0.141935484,0.316129032,0.322580645,0.316129032,0.309677419,0.290322581,0.309677419,0.348387097,0.270967742,0.148387097,0.232258065,0.322580645,0.322580645,0.322580645,0.277419355,0.283870968,0.322580645,0.277419355,0.206451613,0.174193548,0.2,1
